COG_ID,DOM_type
COG0531,Amino Acids\ngeneral
COG0834,Amino Acids\ngeneral
COG1126,Amino Acids\ngeneral
COG0765,Amino Acids\ngeneral
COG4597,Amino Acids\ngeneral
COG4215,Amino Acids\ngeneral
COG4160,Amino Acids\ngeneral
COG0683,Amino acids\nbranched chain
COG0410,Amino acids\nbranched chain
COG0559,Amino acids\nbranched chain
COG4177,Amino acids\nbranched chain
COG0411,Amino acids\nbranched chain
COG1296,Amino acids\nbranched chain
COG1173,Amino acids\ndi- and oligopeptides
COG0601,Amino acids\ndi- and oligopeptides
COG0747,Amino acids\ndi- and oligopeptides
COG0444,Amino acids\ndi- and oligopeptides
COG4166,Amino acids\ndi- and oligopeptides
COG4608,Amino acids\ndi- and oligopeptides
COG1176,Polyamines
COG3842,Polyamines
COG1177,Polyamines
COG0687,Polyamines
COG0580,Lipids
COG2867,Lipids
COG1133,Lipids
COG3201,Nucleotides and coenzymes
COG2233,Nucleotides and coenzymes
COG1129,Carbohydrates\ngeneral
COG1682,Carbohydrates\ngeneral
COG1879,Carbohydrates\ngeneral
COG1134,Carbohydrates\ngeneral
COG1653,Carbohydrates\ngeneral
COG1175,Carbohydrates\ngeneral
COG0395,Carbohydrates\ngeneral
COG0738,Carbohydrates\ngeneral
COG3839,Carbohydrates\ngeneral
COG2211,Carbohydrates\ngeneral
COG2271,Carbohydrates\ngeneral
COG3822,Carbohydrates\ngeneral
COG1925,Carbohydrates\ngeneral
COG1762,Carbohydrates\ngeneral
COG2893,Carbohydrates\ngeneral
COG1172,Carbohydrates\npentoses
COG4214,Carbohydrates\npentoses
COG1593,Carboxylic acids
COG1638,Carboxylic acids
COG3090,Carboxylic acids
COG2358,Carboxylic acids
COG4666,Carboxylic acids
COG4664,Carboxylic acids
COG4665,Carboxylic acids
COG4663,Carboxylic acids
COG1301,Carboxylic acids
COG0471,Carboxylic acids
COG1620,Carboxylic acids
COG2113,Compatible solutes
COG4175,Compatible solutes
COG4176,Compatible solutes
COG1174,Compatible solutes
COG1125,Compatible solutes
COG0591,Compatible solutes
